Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	ENVO:01001275	IAO:0000115	A layer which is primarily composed of some solid material, allowing for non-solid parts such as interstitial pockets of gas or liquid.	
ERROR	duplicate_definition	ENVO:01001276	IAO:0000115	A layer which is primarily composed of some solid material, allowing for non-solid parts such as interstitial pockets of gas or liquid.	
ERROR	multiple_equivalent_classes	ENVO:01000951	owl:equivalentClass	43ba7079a972858fac3c7d79d33fa1c1	
ERROR	multiple_equivalent_classes	ENVO:01000951	owl:equivalentClass	8aee201a4eeec31e27d78a13c84597db	
ERROR	multiple_equivalent_classes	ENVO:01001055	owl:equivalentClass	326210717cad4a3e4120b73589649ea1	
ERROR	multiple_equivalent_classes	ENVO:01001055	owl:equivalentClass	5d24967b56c2eca4bafdab745f3650cd	
ERROR	multiple_equivalent_classes	ENVO:01001057	owl:equivalentClass	1ae5a3c965da77b628d8730b9dd58e83	
ERROR	multiple_equivalent_classes	ENVO:01001057	owl:equivalentClass	1e58905bcfa3d58522e9e5f10a69e203	
ERROR	missing_label	oboInOwl:Subset	rdfs:label		
ERROR	deprecated_class_reference	PATO:0001237	rdfs:subClassOf	PATO:0000146	
ERROR	deprecated_class_reference	PATO:0001237	rdfs:subClassOf	PATO:0001546	
ERROR	deprecated_class_reference	PATO:0001237	rdfs:subClassOf	PATO:0001547	
ERROR	deprecated_class_reference	PATO:0001237	rdfs:subClassOf	PATO:0001548	
ERROR	deprecated_class_reference	PATO:0001237	rdfs:subClassOf	PATO:0001985	
ERROR	deprecated_class_reference	PATO:0001237	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	missing_ontology_description	triffo.owl	dc11:description		
ERROR	duplicate_label	CHEBI:15377	rdfs:label	water	
ERROR	duplicate_label	ENVO:00002006	rdfs:label	water	
ERROR	duplicate_label	ENVO:00000176	rdfs:label	elevation	
ERROR	duplicate_label	PATO:0001687	rdfs:label	elevation	
ERROR	duplicate_label	ENVO:2100007	rdfs:label	determined by part of	
ERROR	duplicate_label	RO:0002509	rdfs:label	determined by part of	
ERROR	duplicate_label	ENVO:2100001	rdfs:label	determined by	
ERROR	duplicate_label	RO:0002507	rdfs:label	determined by	
ERROR	multiple_definitions	BFO:0000004	IAO:0000115	A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.@en	
ERROR	multiple_definitions	BFO:0000004	IAO:0000115	b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])@en	
ERROR	multiple_definitions	BFO:0000015	IAO:0000115	An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.@en	
ERROR	multiple_definitions	BFO:0000015	IAO:0000115	p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])@en	
ERROR	multiple_definitions	BFO:0000020	IAO:0000115	A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.@en	
ERROR	multiple_definitions	BFO:0000020	IAO:0000115	b is a relational specifically dependent continuant = Def. b is a specifically dependent continuant and there are n &gt; 1 independent continuants c1, … cn which are not spatial regions are such that for all 1  i &lt; j  n, ci  and cj share no common parts, are such that for each 1  i  n, b s-depends_on ci at every time t during the course of b’s existence (axiom label in BFO2 Reference: [131-004])@en	
ERROR	multiple_definitions	BFO:0000020	IAO:0000115	b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003])@en	
ERROR	multiple_definitions	BFO:0000031	IAO:0000115	A continuant that is dependent on one or other independent continuant bearers. For every instance of A requires some instance of (an independent continuant type) B but which instance of B serves can change from time to time.@en	
ERROR	multiple_definitions	BFO:0000031	IAO:0000115	b is a generically dependent continuant = Def. b is a continuant that g-depends_on one or more other entities. (axiom label in BFO2 Reference: [074-001])@en	
ERROR	multiple_definitions	ENVO:00000002	IAO:0000115	An anthropogenic geographic feature is a geographic feature resulting from the influence of human beings on nature.	
ERROR	multiple_definitions	ENVO:00000002	IAO:0000115	An anthropogenic geographic feature is a geographic feature'resulting from the influence of human beings on nature.	
ERROR	multiple_definitions	ENVO:00010483	IAO:0000115	A portion of environmental material is a fiat object part which forms the medium or part of the medium of an environmental system.	
ERROR	multiple_definitions	ENVO:00010483	IAO:0000115	A portion of environmental material is a fiat object which forms the medium or part of the medium of an environmental system.	
ERROR	multiple_definitions	ENVO:01000817	IAO:0000115	A biosphere is a part of an astronomical body which includes, as parts, all the living entities within the gravitational sphere of influence of that body, as well as the non-living and dead entities with which they interact.	
ERROR	multiple_definitions	ENVO:01000817	IAO:0000115	A biosphere is an environmental system which includes, as parts, all the living entities within the gravitational sphere of influence of an astronomical body, and the non-living and dead entities which they interact with.	
ERROR	multiple_definitions	PCO:0000000	IAO:0000115	A material entity that consists of two or more organisms, viruses, or viroids.	
ERROR	multiple_definitions	PCO:0000000	IAO:0000115	A material entity that consists of two or more organisms, viruses, or viroids.@en	
ERROR	missing_ontology_license	triffo.owl	dc:license		
ERROR	missing_ontology_title	triffo.owl	dc11:title		
ERROR	multiple_labels	BFO:0000024	rdfs:label	fiat object@en	
ERROR	multiple_labels	BFO:0000024	rdfs:label	fiat object part@en	
ERROR	multiple_labels	PCO:0000000	rdfs:label	collection of organisms	
ERROR	multiple_labels	PCO:0000000	rdfs:label	collection of organisms@en	
ERROR	multiple_labels	RO:0002211	rdfs:label	regulates@en	
ERROR	multiple_labels	RO:0002211	rdfs:label	regulates (processual)	
ERROR	multiple_labels	RO:0002219	rdfs:label	surrounded by	
ERROR	multiple_labels	RO:0002219	rdfs:label	surrounded by@en	
WARN	annotation_whitespace	ENVO:01000303	IAO:0000115	An endolithic environment is an environment that exists within solid rock. 	
WARN	annotation_whitespace	RO:0002163	IAO:0000116	There are two ways to encode this as a shortcut relation. The other possibility to use an annotation assertion between two classes, and expand this to a disjointness axiom. @en	
WARN	annotation_whitespace	RO:0002215	IAO:0000115	A relation between a material entity (such as a cell) and a process, in which the material entity has the ability to carry out the process. 	
WARN	annotation_whitespace	RO:0002326	IAO:0000232	In the context of the Gene Ontology, contributes_to may be used only with classes from the molecular function ontology. 	
WARN	multiple_asserted_superclasses	CHEBI:15377	rdfs:subClassOf	CHEBI:23367	
WARN	multiple_asserted_superclasses	CHEBI:15377	rdfs:subClassOf	CHEBI:33693	
WARN	multiple_asserted_superclasses	CHEBI:15377	rdfs:subClassOf	CHEBI:37176	
WARN	multiple_asserted_superclasses	CHEBI:15377	rdfs:subClassOf	CHEBI:52625	
WARN	multiple_asserted_superclasses	CHEBI:15379	rdfs:subClassOf	CHEBI:138675	
WARN	multiple_asserted_superclasses	CHEBI:15379	rdfs:subClassOf	CHEBI:25362	
WARN	multiple_asserted_superclasses	CHEBI:15379	rdfs:subClassOf	CHEBI:33263	
WARN	multiple_asserted_superclasses	CHEBI:16526	rdfs:subClassOf	CHEBI:138675	
WARN	multiple_asserted_superclasses	CHEBI:16526	rdfs:subClassOf	CHEBI:23014	
WARN	multiple_asserted_superclasses	CHEBI:16526	rdfs:subClassOf	CHEBI:64708	
WARN	multiple_asserted_superclasses	CHEBI:16526	rdfs:subClassOf	FOODON:03412972	
WARN	multiple_asserted_superclasses	CHEBI:17997	rdfs:subClassOf	CHEBI:138675	
WARN	multiple_asserted_superclasses	CHEBI:17997	rdfs:subClassOf	CHEBI:25362	
WARN	multiple_asserted_superclasses	CHEBI:17997	rdfs:subClassOf	CHEBI:33266	
WARN	multiple_asserted_superclasses	CHEBI:23014	rdfs:subClassOf	CHEBI:25701	
WARN	multiple_asserted_superclasses	CHEBI:23014	rdfs:subClassOf	CHEBI:36963	
WARN	multiple_asserted_superclasses	CHEBI:23114	rdfs:subClassOf	CHEBI:23117	
WARN	multiple_asserted_superclasses	CHEBI:23114	rdfs:subClassOf	CHEBI:33958	
WARN	multiple_asserted_superclasses	CHEBI:23367	rdfs:subClassOf	BFO:0000040	
WARN	multiple_asserted_superclasses	CHEBI:23367	rdfs:subClassOf	CHEBI:24431	
WARN	multiple_asserted_superclasses	CHEBI:24651	rdfs:subClassOf	CHEBI:25806	
WARN	multiple_asserted_superclasses	CHEBI:24651	rdfs:subClassOf	CHEBI:33608	
WARN	multiple_asserted_superclasses	CHEBI:24651	rdfs:subClassOf	CHEBI:37577	
WARN	multiple_asserted_superclasses	CHEBI:24839	rdfs:subClassOf	CHEBI:24835	
WARN	multiple_asserted_superclasses	CHEBI:24839	rdfs:subClassOf	CHEBI:24866	
WARN	multiple_asserted_superclasses	CHEBI:25362	rdfs:subClassOf	CHEBI:25367	
WARN	multiple_asserted_superclasses	CHEBI:25362	rdfs:subClassOf	CHEBI:33259	
WARN	multiple_asserted_superclasses	CHEBI:25701	rdfs:subClassOf	CHEBI:25741	
WARN	multiple_asserted_superclasses	CHEBI:25701	rdfs:subClassOf	CHEBI:72695	
WARN	multiple_asserted_superclasses	CHEBI:25741	rdfs:subClassOf	CHEBI:25806	
WARN	multiple_asserted_superclasses	CHEBI:25741	rdfs:subClassOf	CHEBI:37577	
WARN	multiple_asserted_superclasses	CHEBI:26710	rdfs:subClassOf	CHEBI:23367	
WARN	multiple_asserted_superclasses	CHEBI:26710	rdfs:subClassOf	CHEBI:36093	
